id,terms
1,Aks_WellsFargo
2,AllyBank
3,AmericanExpress
4,anzmoneymanager
5,ArvestBank
6,ASBBank
7,AskAmex
8,AskCiti
9,BancoSabadell
10,BarclaysCycle
11,BarclaysStockbroker
12,BarclaysWealth
13,BofA_Careers
14,BofA_Community
15,BofA_Help
16,BofA_News
17,CEO_INGDIRECT
18,ChaseGiving
19,CIBCnews
20,Citi
21,citibankaus
22,CitiJobs
23,Deutsche_News
24,first_direct
25,grameenbank
26,gtbank
27,Halifax_Online
28,ICICIBank_Care
29,INGDIRECT
30,LloydsTSBOnline
31,MasterCardNews
32,NAB
33,NetBank
34,NorthShoreBank
35,OPENForum
36,PinnacleBankSC
37,RBC
38,Rbjacobs
39,StandardBankGrp
40,SuperStarSaver
41,TD_Canada
42,TDBank_US
43,Ubank
44,usaa
45,USAA_help
46,Wachovia
47,wealthinsights
48,WellsFargo
49,WellsFargoBank
50,westpac
