id,terms
1,419 letter
2,account detection rate
3,account takeover
4,address verification service
5,advance fee fraud
6,advances fraud
7,agent fraud
8,application fraud
9,atm fraud
10,avs
11,bank identification number
12,bin
13,broker fraud
14,bust-out fraud
15,card not present
16,card verification
17,card-not-present
18,case management
19,charge back
20,chargeback
21,check fraud
22,cid
23,cnp
24,collusion
25,consumer loan fraud
26,counterfeit
27,credit abuse
28,credit card fraud
29,credit card generators
30,criminal organization
31,current account fraud
32,cvc
33,cvc2
34,cvv2
35,cyber crime
36,dealer fraud
37,debit card fraud
38,demand deposit account fraud
39,detection rate
40,dumpster diving
41,false negative
42,false positive
43,first party fraud
44,forgery
45,fraud
46,fraud ring
47,fraudster
48,ghost terminal
49,hard fraud
50,identity fraud
51,identity theft
52,internal fraud
53,internet fraud
54,kiting
55,mass compromise
56,mod-10 rules
57,money laundering
58,mortgage fraud
59,nigerian letter
60,paperhanging
61,payment fraud
62,phishing
63,poc
64,pof
65,point fo fraud
66,point of compromise
67,profiles
68,sholder surfing
69,skimming
70,soft fraud
71,third party fraud
72,transaction detection rate
73,triangle schme
74,true name identity fraud
