id,terms
1,130-30 Strategy
2,52-Week Range
3,90/10 Strategy
4,Abandonment
5,Abandonment Option
6,Above The Market
7,Absolute Return
8,ABX index
9,AC-DC Option
10,Accelerated Option
11,Accelerated Vesting
12,Accumulation Area
13,Accumulation/Distribution
14,Accumulation/Distribution
15,Active Box
16,Active Trading
17,Actuals
18,Actuarial Analysis
19,Actuarial Consultant
20,Actuarial Equity
21,Adaptive Market Hypothesis
22,Adding To A Loser
23,Adjusted Debit Balance
24,Adjusted Exercise Price
25,Advance/Decline Index
26,Advance/Decline Ratio- ADR
27,Advances And Declines
28,Agency Costs
29,Aggregate Exercise Price
30,Aggressive Growth Fund
31,Alligator Spread
32,Allocation Notice
33,Alpha Generator
34,Alternative Mortgage Instrument
35,Alternative Order
36,Altiplano Option
37,American Option
38,Amplitude
39,Analysis Paralysis
40,Anchoring
41,Andrew's Pitchfork
42,Annapurna Option
43,Annuitization Method
44,annuity
45,Antedate
46,Anti-Dilution Provision
47,Anti-Takeover Measure
48,Approved Participants
49,Arithmetic Mean
50,ARM Margin
51,Aroon Indicator
52,Aroon Oscillator
53,Ascending Channel
54,Ascending Tops
55,Ascending Triangle
56,Asian Financial Crisis
57,Asian Option
58,Asian Tail
59,Assembly Language
60,Asset-Or-Nothing Call Option
61,Asset-or-Nothing Put Option
62,Assign
63,Assignable Contract
64,Assignment
65,At A Premium
66,At Best
67,At Limit
68,At The Market
69,At The Money
70,At-Or-Better
71,At-The-Close Order
72,At-The-Opening-Order
73,Atlantic Spread
74,Atlas Options
75,Attribute Bias
76,Attribute Sampling
77,Attribution Analysis
78,Automated Forex Trading
79,Automatic Execution
80,Automatic Exercise
81,Autoregressive
82,Autotrading
83,Available Funds
84,Average Balance
85,Average Price Call
86,Average Price Put
87,Average Strike Option
88,Away From The Market
89,Ax
90,Axe
91,Back Fee
92,Backspread
93,Backtesting
94,Bagging the Street
95,Bailard Biehl And Kaiser Five-Way Model
96,Balloon Option
97,Bandwagon Effect
98,Bar
99,Bar Chart
100,Barone-Adesi And Whaley Model
101,Barrier Option
102,Basing
103,Basis Trading
104,Basket Option
105,Basket Trade
106,Bear Call Spread
107,Bear Fund
108,Bear Market
109,Bear Market Rally
110,Bear Position
111,Bear Put Spread
112,Bear Spread
113,Bear Straddle
114,Bear Tack
115,Bearish Abandoned Baby
116,Bearish Belt Hold
117,Bearish Engulfing Pattern
118,Bearish Harami
119,Behavioral Economics
120,Behavioral Finance
121,Behaviorist
122,Bell Curve
123,Below The Market
124,Bermuda Option
125,Bermuda Swaption
126,Best Ask
127,Best Bid
128,Bias
129,Biased Expectations Theory
130,Bid Tick
131,Bilateral Netting
132,Binary Option
133,Binomial Option Pricing Model
134,Binomial Tree
135,Bioeconomics
136,Black Scholes Model
137,Black's Model
138,Blind Bid
139,Block Order
140,Block Positioner
141,Bloodletting
142,Blow-Off Top
143,Blowoff
144,Blue Collar Trader
145,Blue Month
146,Bollinger Band
147,bond
148,Bond Buyer Index
149,Bond Fund
150,Bond Option
151,Booking the Basis
152,Bookout
153,Boolean Algebra
154,Boom
155,Boomernomics
156,Borrowed Capital
157,Bottom
158,Bottom Fisher
159,Bottom Fishing
160,Box Size
161,Box Spread
162,Box-Jenkins Model
163,Box-Top Order
164,Bracketed Buy Order
165,Bracketed Sell Order
166,Breadth Indicator
167,Breadth of Market Theory
168,Breadth Thrust Indicator
169,Breakaway Gap
170,Breakdown
171,Breakeven Price
172,Breakout
173,Breakout Trader
174,Broad Tape
175,Broad-Based Weighted Average Ratchet
176,Broadening Formation
177,Broker's Call
178,Brokerage Department
179,Brokerage Window
180,Bubble Theory
181,Buck The Trend
182,Bulge
183,Bull Bond
184,Bull Call Spread
185,Bull Market
186,Bull Position
187,Bull Put Spread
188,Bull Spread
189,Bull Trap
190,Bull Vertical Spread
191,Bull/Bear Ratio
192,Bullet Dodging
193,Bullet Trade
194,Bullion Market
195,Bullish Abandoned Baby
196,Bullish Belt Hold
197,Bullish Engulfing Pattern
198,Bullish Harami
199,Bullish Homing Pigeon
200,Bunching
201,Business Auto Coverage Form
202,Bust
203,Bust-Up Takeover
204,Busted Takeover
205,Butterfly Spread
206,Buy A Bounce
207,Buy A Spread
208,Buy And Hold
209,Buy And Homework
210,Buy Break
211,Buy Limit Order
212,Buy Minus
213,Buy Signal
214,Buy Stop Order
215,Buy Stops Above
216,Buy To Close
217,Buy To Cover
218,Buy To Open
219,Buy Weakness
220,Buy-Write
221,Buyer's Call
222,Buyers/Sellers On Balance
223,Buying On Margin
224,Buying Power
225,Buyout
226,Cafeteria Plan
227,Calculation Agent
228,Calendar Spread
229,Call
230,Call Loan
231,Call Loan Rate
232,Call Money
233,Call Money Rate
234,Call On A Call
235,Call On A Put
236,Call Option
237,Call Over
238,Call Premium
239,Call Ratio Backspread
240,Call Rule
241,Call Swaption
242,Callable Swap
243,Called Away
244,Cambrist
245,Camouflage Compensation
246,Canary Call
247,Canceled Order
248,Candlestick
249,capex
250,Capital Allocation
251,Capital Gearing
252,Capital IQ
253,Capitalization Ratios
254,Capitulation
255,Caplet
256,Capped Option
257,Capping
258,Caput
259,Cash Flow-to-Debt Ratio
260,Cash Neutral
261,Cash Settlement
262,Cash Trigger
263,Cash Wages
264,Cash-Based Option
265,Cash-Or-Nothing Call
266,Cash-or-Nothing Put
267,Cash-Settled Options
268,Cashless Conversion
269,Cashless Exercise
270,Cat Spread
271,cd
272,Ceded Reinsurance Leverage
273,Centipede Game
274,CFLEX
275,Chaikin Oscillator
276,Chameleon Option
277,Chande Momentum Oscillator
278,Change
279,Changer
280,Channel
281,Charm
282,Chart Formation
283,Chartist
284,Chasing The Market
285,Cheap Money
286,Cheap Stock
287,Chikou Span
288,Chinese Hedge
289,Chooser Option
290,Choppy Market
291,Christmas Tree
292,Circular Flow Of Income
293,Clearing
294,Clearing Fee
295,Clearing House
296,Climax
297,Cliquet
298,Close
299,Closed-Market Transaction
300,Closing Bell
301,Closing Range
302,Closing Tick
303,Cognitive Dissonance
304,Coiled Market
305,Collar
306,Collar Agreement
307,Color
308,Combination
309,Combination Loan
310,Commercial
311,Commercial Trader
312,Commodity Futures Contract
313,Commodity Price Risk
314,Common Gap
315,Competitive Bid Option
316,Compound Option
317,Conditional Call Option
318,Conditional Order
319,Condor Spread
320,Confirmation
321,Confirmation Bias
322,Confirmation On A Chart
323,Confluence
324,Congestion
325,Conservative Growth
326,Consolidated Tape
327,Consolidation
328,Constant Ratio Plan
329,Contango
330,Contingency Order
331,Contingent Order
332,Continuation Pattern
333,Continuing Undertaking Rule
334,Continuous Trading
335,Contra Market
336,Contra Proferentem Rule
337,Contract Market
338,Contract Month
339,Contract Size
340,Contract Unit
341,Contrarian
342,Convention Statement
343,Conversion Arbitrage
344,Coppock Curve
345,Corrective Waves
346,Count
347,Counterbid
348,Countermove
349,Counterparty
350,Countertrend Strategy
351,Countertrend Trading
352,Country Basket
353,Cournot Competition
354,Cover
355,Cover On A Bounce
356,Cover On Approach
357,Covered Bear
358,Covered Call
359,Covered Combination
360,Covered Straddle
361,Covered Writer
362,Cowboy Marketing
363,Cramer Bounce
364,Credit Balance
365,Credit Default Contract
366,Credit Derivative
367,Credit Spread
368,Credit Spread Option
369,Creditor
370,Cross Margining
371,Cross-Sectional Analysis
372,Crossed Market
373,Crossover
374,Crude Oil
375,Cum Rights
376,Cup and Handle
377,Currency Binary
378,Currency Day Trading System
379,Currency Option
380,Currency Warrants
381,cva
382,Cylinder
383,Daily Chart
384,Daily Trading Limit
385,Dark Cloud Cover
386,Darvas Box Theory
387,Dash To Trash
388,Data Smoothing
389,Date Certain
390,Day Order
391,Day Trader
392,Day-Around Order
393,Dead Cat Bounce
394,Dealer Option
395,Dealing Desk
396,Death Cross
397,Death Put
398,Debit Balance
399,Debit Spread
400,Debt For Bond Swap
401,Debt Load
402,Debt Signaling
403,Debt-To-Capital Ratio
404,Debt/Equity Ratio
405,Decision Theory
406,Decision Tree
407,Deck
408,Declaration Date
409,Dedicated Short Bias
410,Deep In The Money
411,Deep Out Of The Money
412,Defensive Investment Strategy
413,Deferment Period
414,Deferred Month
415,Deferred Option Month
416,Deferred Payment Option
417,Deficit Spending
418,Degearing
419,Deleverage
420,Deleveraged Floater
421,Delivery
422,Delivery Point
423,Delivery Price
424,Delta
425,Delta Hedging
426,Delta Neutral
427,Delta Spread
428,Demarker Indicator
429,Depressed
430,Depth
431,Derivative
432,Derivatives Time Bomb
433,Descending Channel
434,Descending Tops
435,Descending Triangle
436,Diagonal Spread
437,Diamond Top Formation
438,Diffusion Index
439,Digital Option
440,Dilution
441,Directed Order
442,Disaster Relief Act
443,Discounting Mechanism
444,Discretionary Order
445,Disparity Index
446,Displaced Moving Average
447,Distressed Borrower
448,Divergence
449,Dividend
450,Dividend Arbitrage
451,Dividend Signaling
452,Doji
453,Dojima Rice Exchange
454,Dollar Bear
455,Dollar Bull
456,Dollar Volume Liquidity
457,Donchian Channels
458,Double Barrier Option
459,Double Bottom
460,Double Hedging
461,Double Leverage
462,Double No-Touch Option
463,Double One-Touch Option
464,Double Top
465,Double Top And Bottom
466,Double Witching
467,Down Round
468,Down Transition Probability
469,Down Volume
470,Down-and-In Option
471,Down-and-Out Option
472,Downside Protection
473,Downside Tasuki Gap
474,Downswing
475,Downtick Volume
476,Downtrend
477,Dragonfly Doji
478,Drawdown
479,Dull Market
480,Duopsony
481,DuPont Analysis
482,DuPont Identity
483,Dutch Auction
484,Dutch Book Theorem
485,DvegaDtime
486,Dynamic Momentum Index
487,E-Micro Forex Futures
488,E-Mini
489,Early Exercise
490,Ease Of Movement
491,Economic Depreciation
492,Economic Derivative
493,Economic Growth Rate
494,EDGX
495,Effective Duration
496,Elder-Ray Index
497,Eligible Contract Participant
498,Elliott Wave Theory
499,Elves
500,Embedded Option
501,Emotional Neutrality
502,End Of Day Order
503,Energy Derivatives
504,Enterprise Application Integration
505,Entity Trading Account
506,Entropy
507,Entry Point
508,Envelope
509,Equitable Subrogation
510,Equity
511,Equity Compensation
512,Equity Derivative
513,Equity Multiplier
514,Equity Participation
515,Equivolume
516,Escrow Receipt
517,ETF Futures And Options
518,EUREX
519,Euronext
520,European Option
521,ev
522,Evening Star
523,Everest Option
524,Evergreen Option
525,Ex-Ante
526,Excess Margin Deposit
527,Exchange-Traded Binary Options
528,Exchange-Traded Option
529,Execution
530,Exercise
531,Exercise Backdating
532,Exercise Limit
533,Exercise Price
534,Exhausted Selling Model
535,Exhaustion Gap
536,Exit Option
537,Exit Point
538,Exit Strategy
539,Exotic Option
540,Expansion Option
541,Expiration Cycle
542,Expiration Time
543,Exploding Warrant
544,Extended Trading
545,Extrinsic Value
546,Fade
547,Fail
548,Failed Break
549,Fair Weather Fund
550,Fakeout
551,Falling Knife
552,Falling Three Methods
553,False Market
554,False Signal
555,Far Option
556,Federal Call
557,Fence
558,Fibonacci Arc
559,Fibonacci Channel
560,Fibonacci Clusters
561,Fibonacci Extensions
562,Fibonacci Fan
563,Fibonacci Numbers/Lines
564,Fibonacci Retracement
565,Fibonacci Time Zones
566,Fictitious Credit
567,Fictitious Trade
568,Fiduciary Call
569,Fifty Percent Principle
570,Filter
571,Filter Rule
572,Financial Crisis
573,Financial Engineering
574,Financial Porn
575,Fine Tuning
576,FINEX
577,Fintech
578,Fintech
579,Fire Sale
580,Firm Order
581,Five Hundred Dollar Rule
582,Fixed Dollar Value Collar
583,Flag
584,Flash Price
585,Flash Trading
586,Flat On A Failure
587,Flexible Payment ARM
588,Flip-Flop Note
589,Flipper
590,Floor
591,Floortion
592,Flow Derivative
593,FMAN
594,Follow-Up Action
595,Footprint Charts
596,Force Index
597,Forced Liquidation
598,Forecasting
599,Forex Charts
600,Forex Forecasting Software
601,Forex Hedge
602,Forex Option & Currency Trading Options
603,Forex Option Trading
604,Forex Pivot Points
605,Forex Scalping
606,Forex Signal System
607,Forex Spread Betting
608,Forex System Trading
609,Forex Trading Strategy
610,Form 4
611,Form 6781: Gains And Losses From Section 1256 Contracts And Straddles
612,Formula Method
613,Forward Start Option
614,Forward Swap
615,Forwardation
616,Fractal
617,Fraption
618,Free Credit Balance
619,Free Lunch
620,Front Fee
621,Frontspread
622,Fugit
623,Full Ratchet
624,Fully Amortizing Payment
625,Fully Diluted Shares
626,Fund Flow
627,Fundamental Analysis
628,Fungibility
629,Fungibles
630,Furthest Out
631,Futures
632,Futures Equivalent
633,Futures Exchange
634,Fuzzy Logic
635,Game Theory
636,Gamma
637,Gamma Neutral
638,Gamma Pricing Model
639,Gann Angles
640,Gann Fans
641,Gap
642,Gap Analysis
643,Gapping
644,Gartley Pattern
645,Gearing
646,Gearing Ratio
647,Geometric Mean
