id,terms
1,bofa
2,bofa_careers
3,bofa_community
4,bofa_help
5,bofa_news
6,barclays
7,barclayswealth
8,barclayscycle
9,wealthinsights
10,barclaysstockbroker
11,citi
12,askciti
13,citijobs
14,citibankaus
15,bank of america
16,allybank
17,amex
18,americanexpress
19,openforum
20,askamex
21,american express
22,anzmoneymanager
23,arvest
24,arvestbank
25,asb
26,asbbank
27,banco sabadell
28,bancosabadell
29,barclays wealth
30,chase
31,chasegiving
32,cibc
33,cibcnews
34,commonweatlh
35,netbank
36,first direct
37,first_direct
38,fnb
39,rbjacobs
40,grameen
41,grameenbank
42,guaranty trust
43,gtbank
44,halifax
45,halifax_online
46,icici
47,icicibank_care
48,ing direct
49,ingdirect
50,ceo_ingdirect
51,superstarsaver
52,lloyds tsb
53,lloydstsbonline
54,mastercard
55,mastercardnews
56,nab
57,north shore
58,northshorebank
59,pinnacle
60,pinnaclebanksc
61,rbc
62,standard
63,standardbankgrp
64,td_canada
65,tdbank_us
66,ubank
67,usaa
68,usaa_help
69,wachovia
70,wells fargo
71,wellsfargo
72,aks_wellsfargo
73,wellsfargobank
74,wells fargo bank
75,westpac
76,hsbc
77,rbs

