id,terms
1,401(a) Plan
2,401(k) Plan
3,401K
4,403(b) Plan
5,403B
6,408(k) Plan
7,412(i) Plan
8,5 By 5 Power In Trust
9,90-Age Formula
10,A-B Trust
11,Abeyance
12,Absolute Beneficiary
13,Acceptance Of Office By Trustee
14,Account In Trust
15,Accrued Benefits
16,Accrued Monthly Benefit
17,Accumulated Benefit Obligation
18,Accumulated Income Payments
19,Active Participant Status
20,Active Trust
21,Activities of Daily Living - ADL
22,Actual Contribution Percentage
23,Actual Deferral Percentage
24,Actual Deferral Percentage / Actual Contribution Percentage
25,Actuarial Analysis
26,Actuarial Balance
27,Actuarial Deficit
28,Actuarial Science
29,Additional Voluntary Contribution
30,Adjusted Gross Estate
31,ADL
32,Administrative Services Only
33,ADP/ACP TEST
34,Advanced Funded Pension Plan
35,Agency By Necessity
36,Aggregate Level Cost Method
37,AIP
38,Alaska Trust Act
39,Alimony Substitution Trust
40,Alimony Trust
41,Allocated Benefits
42,Allocated Funding Instrument
43,Allocation Of Plan Assets On Termination
44,Alternate Beneficiary
45,Alternative Minimum Cost Method
46,Annual Addition
47,Annual Exclusion
48,Annuity Contract
49,Annuity Ladder
50,ASO
51,Asset Protection Trust
52,Asset Retirement Obligation
53,Automatic Rollover
54,Automatic Savings Plan
55,AVC
56,Balanced Budget
57,Bank Trust Custodial Account
58,Bankruptcy Trustee
59,Bare Trust
60,Basis
61,BCE
62,Beneficial Interest
63,Beneficiary
64,Beneficiary Clause
65,Beneficiary Of Trust
66,Benefit Allocation Method
67,Benefit Offset
68,Benefits Payable Exclusion
69,Bequest
70,Blackout Period
71,Blind Trust
72,Board Certified In Estate Planning
73,Brokerage Window
74,Bullet GIC
75,Bypass Trust
76,CalPERS
77,Canada Pension Plan
78,Canadian Royalty Trust
79,CANROY
80,Carryover Basis
81,Cash Balance Pension Plan
82,Cash Or Deferred Arrangement
83,Catch-Up Contribution
84,Certified Financial Planner
85,Cestui Que Vie
86,CFP
87,Charitable Gift Annuity
88,Charitable Gift Life Insurance
89,Charitable Lead Trust
90,Charitable Remainder Trust
91,Chartered Retirement Planning Counselor
92,Chartered Retirement Plans Specialist
93,Chartered Trust And Estate Planner
94,Civil Service Retirement System
95,Clifford Trust
96,Clone Fund
97,CODA
98,Codicil
99,Conduit IRA
100,Contingent Beneficiary
101,Corporate Pension Plan
102,Covered Earnings
103,CPP
104,Credit For Qualified Retirement Savings Contribution
105,Credit Shelter Trust
106,CRPC
107,CRPS
108,Crummey Power
109,Crummey Trust
110,CSRS
111,CST
112,Custodial Care
113,Cy Pres Doctrine
114,DASH 401K
115,DB(k) Plan
116,Death Benefit
117,Death Master File
118,Death Taxes
119,Decedent
120,Decedent Deduction
121,Declaration Of Trust
122,Deferred Account
123,Deferred Payment Annuity
124,Defined-Benefit Plan
125,Defined-Contribution Plan
126,Designated Beneficiary
127,Designated Roth Account
128,Determination Letter
129,Direct Rollover
130,Direct Transfer
131,Disability Insurance
132,Disability Insurance Trust Fund
133,Disclaimer Trust
134,Disclosure Statement
135,Discretionary Beneficiary
136,Distribution In Kind
137,DMF
138,Do-Over Option
139,Donee Beneficiary
140,Double Advantage Safe Harbor 401(k)
141,Drawdown Percentage
142,Dynasty Trust
143,EACA
144,Early Withdrawal
145,Education IRA
146,Elder Care
147,Elective-Deferral Contribution
148,Eligible Automatic Contribution Arrangements
149,Eligible Rollover Distribution
150,Eligible Transfer
151,Employee Retirement Income Security Act
152,Employee Savings Plan
153,Employee Trust
154,Employer-Sponsored Plan
155,Encore Career
156,Entrance Fee
157,ERISA
158,Escheat
159,Estate
160,Estate Freeze
161,Estate Planning
162,Estate Tax
163,Excess Accumulation Penalty
164,Excess Employer Withholding
165,Executor
166,Executrix
167,Exempt Income
168,Exemption Trust
169,Exordium Clause
170,Extended IRA
171,Family Limited Partnership
172,Federal Employee Retirement System
173,Federal Insurance Contributions Act
174,Federal Tax Lien
175,FERS
176,FICA
177,Fiduciary
178,Fiduciary Abuse
179,Fiduciary Fraud
180,Fiduciary Negligence
181,Final Return For Decedent
182,Financial Advisor
183,Financial Planner
184,Five-Year Rule
185,Fixed Amortization Method
186,Fixed Annuitization Method
187,Flat Benefit Formula
188,FLP
189,FORM 706
190,Form 706-GS(D): Generation-Skipping Transfer Tax Return For Distributions
191,Form 706-NA: United States Estate (And Generation-Skipping Transfer) Tax Return
192,Form 706: United States Estate (And Generation-Skipping Transfer) Tax Return
193,Form 8606
194,Form 8891
195,Forward Averaging
196,Four Percent Rule
197,Front-End Load
198,Fully Funded
199,Fully Vested
200,Funded Status
201,Generation-Skipping Transfer Tax
202,Generation-Skipping Trust
203,Gift
204,Gift Causa Mortis
205,Gift In Trust
206,Gift Inter Vivos
207,Gift Letter
208,Gift Splitting
209,Gift Tax
210,Gift Tax Return
211,Gifted Stock
212,Gifting Phase
213,glwb
214,gmp
215,gmwb
216,Gold IRA
217,Government Pension Fund
218,Government-Sponsored Retirement Arrangement
219,Graded Vesting
220,Graduated Vesting
221,Grant Deed
222,Grantor Retained Annuity Trust
223,Grantor Trust Rules
224,grat
225,Gross Estate
226,Group Carve-Out Plan
227,Group-Home Care
228,gsra
229,gstt
230,Guarantee Company
231,Guaranteed Lifetime Withdrawal Benefit
232,Guaranteed Minimum Pension
233,Guaranteed Minimum Withdrawal Benefit
234,Guardian IRA
235,GUST Restatement
236,Halloween Massacre
237,Hardship Withdrawal
238,Health Insurance Portability And Accountability Act
239,Heir
240,hero
241,Heroes Earned Retirement Opportunities Act
242,hippa
243,Holographic Will
244,Home Buyers' Plan - HBP
245,idgt
246,iiot
247,Immediate Beneficiary
248,In-Service Withdrawal
249,Incentive Trust
250,Inchoate Interest
251,Incidents Of Ownership
252,Income In Respect Of A Decedent
253,Income Splitting
254,Income Spreading
255,Independent 401(k)
256,Indirect Rollover
257,Individual Retirement Account
258,Individual Retirement Annuity
259,Inheritance
260,Inheritance Tax
261,Inherited IRA
262,Inherited Stock
263,Insurance Trust
264,Integrated Pension Plan
265,Intentionally Defective Grantor Trust
266,Inter-Vivos Trust
267,Intestacy
268,Intestate
269,Investment Horizon
270,Involuntary Cash-Out
271,ira
272,ira
273,IRA Adoption Agreement And Plan Document
274,IRA Asset Will
275,IRA Plan
276,IRA Rollover
277,IRA Transfer
278,IRD
279,ird
280,Irrevocable Beneficiary
281,Irrevocable Income-Only Trust - IIOT
282,Irrevocable Trust
283,IRS Publication 517 - Social Security And Other Information For Members Of The Clergy ...
284,"IRS Publication 536 - Net Operating Losses For Individuals, Estates, And Trusts"
285,IRS Publication 554
286,"IRS Publication 560: Retirement Plans for Small Business SEP, SIMPLE and Qualified ..."
287,IRS Publication 571: Tax-Sheltered Annuity Plans (403(b) Plans) For Employees of ...
288,IRS Publication 575
289,IRS Publication 590: Individual Retirement Arrangements (IRAs)
290,IRS Publication 939
291,Joint Owned Property
292,Keogh Plan
293,Kids In Parents' Pockets Eroding Retirement Savings - KIPPERS
294,kippers
295,KSOP
296,Land Trust
297,Last Will And Testament
298,Laughing Heir
299,ldi
300,Legal List
301,Legatee
302,Letter of Intent
303,Leveraged Benefits
304,Liability Driven Investment
305,lif
306,Life Estate
307,Life Expectancy
308,Life Income Fund
309,Life Insurance
310,Life With Guaranteed Term
311,Lifelong Learning Plan
312,lira
313,Living Trust
314,Living Will
315,Locked-In Retirement Account
316,loi
317,Lump-Sum Distribution
318,magi
319,Marital Trust
320,Master Trust
321,Matching Contribution
322,Matured RRSP
323,mcca
324,Medicaid
325,Medicare
326,Medicare And Medicaid Fraud
327,Medicare Catastrophic Coverage Act Of 1988
328,Medicare Doughnut Hole
329,Medicare Hold Harmless Provision
330,Medicare Part B Premiums
331,Medicare Part D
332,Medicare Supplementary Medical Insurance
333,Medicare Wages
334,Modified Adjusted Gross Income
335,Money-Purchase Pension Plan
336,Money-Purchase Provisions
337,Monthly Income Plan - MIP
338,Municipal Investment Trust
339,Mutual Will
340,MyRA
341,naepc
342,Naked Trust
343,Named Beneficiary
344,Named Fiduciary
345,National Association Of Estate Planners And Councils
346,National Insurance Contributions
347,National Pensions Reserve Fund
348,Needs Approach
349,Net Unrealized Appreciation
350,Net Unrealized Appreciation
351,New Zealand Superannuation Fund
352,New Zealand Superannuation Fund
353,Next Of Kin
354,Next Of Kin
355,nic
356,noa
357,noa
358,Non-Qualified Distribution
359,Non-Qualified Distribution
360,Non-Qualified Plan
361,Non-Qualified Plan
362,Non-Registered Accoun
363,Non-Registered Account
364,Non-Spouse Beneficiary Rollover
365,Non-Spouse Beneficiary Rollover
366,Nondiscrimination Rule
367,Nondiscrimination Rule
368,Nonelective Contribution
369,Nonelective Contribution
370,Nonperiodic Distribution
371,Nonperiodic Distribution
372,Normal Retirement Age
373,Normal Retirement Age
374,Notarize
375,Notarize
376,Notary
377,Notary
378,Notice Of Assessment
379,Notice Of Assessment
380,Notice To Creditors
381,Notice To Creditors
382,nra
383,nua
384,nua
385,Nuncupative Will
386,Nuncupative Will
387,oasdi
388,oasdi
389,"Old Age, Survivors And Disability Insurance Program"
390,"Old Age, Survivors And Disability Insurance Program"
391,Old-Age And Survivors Insurance Trust Fund
392,Old-Age And Survivors Insurance Trust Fund
393,Ontario Teachers' Pension Plan Board
394,Ontario Teachers' Pension Plan Board
395,Opt-Out Plan
396,Opt-Out Plan
397,Oral Will
398,Oral Will
399,Ordering Rules
400,Ordering Rules
401,Other Post-Retirement Benefits
402,Other Post-Retirement Benefits
403,otppb
404,otppb
405,Outside Earnings
406,Outside Earnings
407,Overcontribution
408,Overcontribution
409,Overfunded Pension Plan
410,Overfunded Pension Plan
411,Overwithholding
412,Overwithholding
413,pa
414,pa
415,par
416,par
417,Past Service
418,Past Service
419,Pay As You Go Pension Plan
420,Pay As You Go Pension Plan
421,Pay Yourself First
422,Pay Yourself First
423,pbgc
424,pbo
425,pbo
426,Pension Adjustment
427,Pension Adjustment
428,Pension Adjustment Reversal
429,Pension Adjustment Reversal
430,Pension Benefit Guaranty Corporation
431,Pension Benefit Guaranty Corporation
432,Pension Benefit Obligation
433,Pension Benefit Obligation
434,Pension Fund
435,Pension Fund
436,Pension Maximization
437,Pension Maximization
438,Pension Option
439,Pension Option
440,Pension Pillar
441,Pension Pillar
442,Pension Plan
443,Pension Plan
444,Pension Plan Administrator
445,Pension Plan Administrator
446,Pension Protection Act Of 2006
447,Pension Protection Act Of 2006
448,Pension Risk Transfer
449,Pension Risk Transfer
450,Pension Shortfall
451,Pension Shortfall
452,Pensionable Service
453,Pensionable Service
454,Per Stirpes
455,Per Stirpes
456,Peri-Retirement
457,Peri-Retirement
458,Period Certain
459,Period Certain
460,Permanent Wyoming Mineral Trust Fund
461,Permanent Wyoming Mineral Trust Fund
462,Personal Financial Advisor
463,Personal Financial Advisor
464,Personal Trust
465,Personal Trust
466,pggc
467,Phase Out
468,Phase Out
469,Phased Retirement
470,Phased Retirement
471,Phases Of Retirement
472,Phases Of Retirement
473,Plan Participant
474,Plan Participant
475,Plan Sponsor
476,Plan Sponsor
477,Pop-Up Option
478,Pop-Up Option
479,Portability
480,Portability
481,Portable Benefits
482,Portable Benefits
483,Post-Retirement Risk
484,Post-Retirement Risk
485,Pour-Over Will
486,Pour-Over Will
487,ppa
488,ppa
489,Premature Distribution
490,Premature Distribution
491,Pretax Contribution
492,Pretax Contribution
493,Primary Beneficiary
494,Primary Beneficiary
495,Probate
496,Probate
497,Probate Court
498,Probate Court
499,Provident Fund
500,Provident Fund
501,Prudent Expert Act
502,Prudent Expert Act
503,pub 517
504,pub 536
505,pub 554
506,pub 560
507,pub 571
508,pub 575
509,pub 590
510,pub 939
511,Purchased Service
512,Purchased Service
513,pwmtf
514,pwmtf
515,qaca
516,qaca
517,qdot
518,qdot
519,qjsa
520,qjsa
521,qprt
522,qprt
523,qpsa
524,qpsa
525,qtip
526,qtip
527,Qualified Acquisition Cost
528,Qualified Acquisition Cost
529,Qualified Automatic Contribution Arrangements
530,Qualified Automatic Contribution Arrangements
531,Qualified Distribution
532,Qualified Distribution
533,Qualified Joint And Survivor Annuity
534,Qualified Joint And Survivor Annuity
535,Qualified Personal Residence Trust
536,Qualified Personal Residence Trust
537,Qualified Pre-Retirement Survivor Annuity
538,Qualified Pre-Retirement Survivor Annuity
539,Qualified Reservist
540,Qualified Reservist
541,Qualified Retirement Plan
542,Qualified Retirement Plan
543,Qualified Terminable Interest Property Trust
544,Qualified Terminable Interest Property Trust
545,Qualified Trust
546,Qualified Trust
547,Qualifying Annuity
548,Qualifying Annuity
549,Qualifying Domestic Trust
550,Qualifying Domestic Trust
551,Qualifying Investment
552,Qualifying Investment
553,rbd
554,rbd
555,Recharacterization
556,Recharacterization
557,Reconversion
558,Reconversion
559,Redeposit
560,Redeposit
561,Registered Education Savings Plan
562,Registered Education Savings Plan
563,Registered Pension Plan
564,Registered Pension Plan
565,Registered Retirement Income Fund
566,Registered Retirement Income Fund
567,Registered Retirement Savings Plan
568,Registered Retirement Savings Plan
569,Registered Retirement Savings Plan Contribution
570,Registered Retirement Savings Plan Contribution
571,Registered Retirement Savings Plan Deduction
572,Registered Retirement Savings Plan Deduction
573,Registered Retirement Savings Plan Deduction Limit
574,Registered Retirement Savings Plan Deduction Limit
575,Remainder Man
576,Remainder Man
577,Required Beginning Date
578,Required Beginning Date
579,Required Minimum Distribution
580,Required Minimum Distribution
581,Required Minimum Distribution Method
582,Required Minimum Distribution Method
583,Resolution Trust Corporation
584,Resolution Trust Corporation
585,resp
586,resp
587,Retirement
588,Retirement
589,Retirement Contribution
590,Retirement Contribution
591,Retirement Income Certified Professional
592,Retirement Income Certified Professional
593,Retirement Income Fund
594,Retirement Income Fund
595,Retirement Method of Depreciation
596,Retirement Money Market Account
597,Retirement of Securities
598,Retirement Planner
599,Retirement Planning
600,Retirement Readiness
601,Returnment
602,Reverse Morris Trust
603,Reversionary Annuities
604,Revocable Beneficiary
605,Revocable Trust
606,Revoked IRA
607,ricp
608,ricp
609,rif
610,rif
611,rmd
612,rmd
613,Rollover
614,Rollover IRA
615,Roth 401(k)
