id,terms
1,Agricultural Bank of China
2,AskCiti
3,Banco Santander
4,Bank of America
5,Bank of China
6,barclays
7,Barclays PLC
8,BarclaysCycle
9,BarclaysWealth
10,BNP
11,BNP Paribas
12,BofA_Community
13,bpce
14,Chase
15,ChaseGiving
16,China Construction Bank Corporation
17,Citi
18,citibank
19,citibankaus
20,citicard
21,Citigroup
22,citigroup
23,CitiJobs
24,Credit agricole group
25,CrŽdit Agricole Group
26,Deutsche Bank
27,Deutsche_News
28,Group BPCE
29,HSBC Holdings
30,ICBC
31,Industrial & Commercial Bank of China
32,Industrial and Commercial Bank of China
33,Japan Post Bank
34,JPmorgan
35,JPMorgan Chase & Co
36,JPMorgan Chase and Co
37,Mitsubishi UFJ
38,Mitsubishi UFJ Financial Group
39,Mizuho Financial Group
40,Royal Bank of Scotland Group
41,societe generale
42,SociŽtŽ GŽnŽrale
43,Sumitomo Mitsui Financial Group
44,wealthinsights
