id,terms
1,bank of america
2,bofa
3,bofa_careers
4,bofa_community
5,bofa_help
6,bofa_news
7,ally
8,allybank
9,amex
10,americanexpress
11,openforum
12,askamex
13,american express
14,anz
15,anzmoneymanager
16,arvest
17,arvestbank
18,asb
19,asbbank
20,banco sabadell
21,bancosabadell
22,barclays
23,barclayswealth
24,barclayscycle
25,wealthinsights
26,barclaysstockbroker
27,barclays wealth
28,chase
29,chasegiving
30,cibc
31,cibcnews
32,citi
33,askciti
34,citijobs
35,citibankaus
36,commonweatlh
37,netbank
38,deutsche
39,deutsche_news
40,first direct
41,first_direct
42,fnb
43,rbjacobs
44,grameen
45,grameenbank
46,guaranty trust
47,gtbank
48,halifax
49,halifax_online
50,icici
51,icicibank_care
52,ing direct
53,ingdirect
54,ceo_ingdirect
55,superstarsaver
56,lloyds tsb
57,lloydstsbonline
58,mastercard
59,mastercardnews
60,nab
61,north shore
62,northshorebank
63,pinnacle
64,pinnaclebanksc
65,rbc
66,standard
67,standardbankgrp
68,td
69,td_canada
70,tdbank_us
71,ubank
72,usaa
73,usaa_help
74,wachovia
75,wells fargo
76,wellsfargo
77,aks_wellsfargo
78,wellsfargobank
79,wells fargo bank
80,westpac
